pmc_ID,accession
PMC4334403,GSM103823
PMC4334403,GSE58128
PMC4334403,GSE58128
PMC4352269,SRR299127
PMC4352269,SRR832953
PMC4352269,SRR594464
PMC4352269,SRR299127
PMC4352269,SRR832953
PMC4352269,SRR594464
PMC4352269,SRR299127
PMC4352269,SRR832953
PMC4352269,SRR594464
PMC4352269,SRR299127
PMC4352269,SRR832953
PMC4352269,SRR594464
PMC4352269,SRR299127
PMC4352269,SRR832953
PMC4352269,SRR594464
PMC4352269,SRR594464
PMC4352269,SRR299127
PMC4352269,SRR832953
PMC4352269,SRR594464
PMC4352269,SRX424026
PMC4352269,SRX209571
PMC4352269,SRX518478
PMC4352269,SRX489030
PMC4352269,SRX480828
PMC4356054,SRR060191
PMC4349310,GSE62488
PMC4349310,GSE62488
PMC4349310,GSE62488
PMC4349310,GSE62488
PMC4349310,GSE62488
PMC4349473,GSE64087
PMC4349473,GSE64087
PMC4349473,GSE64087
PMC4048457,GSE48199
PMC4048457,GSE48199
PMC4048457,GSE48199
PMC4048457,GSE48199
PMC4746818,GSE49537
PMC4746818,GSE49537
PMC4344806,GPL6416
PMC4344806,GSE54468
PMC4344806,GSE54468
PMC4344806,GSE54468
PMC4336476,SRP042646
PMC4336476,SRP042646
PMC4345001,SRR546811
PMC4345001,SRR1654792
PMC4345017,GSE6734
PMC4345017,GSE15378
PMC4345017,GSE11086
PMC4345003,GSE9588
PMC4345003,GSE44772
PMC4345003,GSE44768
PMC4345003,GSE44770
PMC4345003,GSE44771
PMC4345003,GSE189199
PMC4355973,SRA146484
PMC4340878,GSE59010
PMC4337095,GSE53907
PMC4337095,GSE53907
PMC4337095,GSE53907
PMC4337095,GSE53907
PMC1482311,GSE3584
PMC1482311,GPL3034
PMC1482311,GPL3034
PMC1482311,GPL1902
PMC1482311,GSE3584
PMC1618849,GSE928
PMC5210278,SRP092633
PMC5210311,GSE85323
PMC5210311,GSE85323
PMC5210311,GSE85323
PMC5210311,GSE85323
PMC1664577,GPL4220
PMC1664577,GSE5672
PMC1501020,GSE3261
PMC1501020,GSE3261
PMC2278132,GSE9784
PMC2386825,GSE4756
PMC2430976,GSE11289
PMC2440768,GSE11246
PMC2573897,GSE12711
PMC2204013,GSE3839
PMC2204013,GSE5917
PMC5210266,PRJNA320882
PMC5210266,PRJNA320882
PMC2396644,GSE6607
PMC2396644,GSE7571
PMC2396644,GSE7572
PMC2637875,GSE3705
PMC2637875,GSE3706
PMC2637875,GSE2246
PMC2213675,GSE6306
PMC2244606,GSE6536
PMC2244606,GSE6536
PMC2244606,GSE6099
PMC2244606,GSE3151
PMC2244606,GSE3158
PMC2194786,GSE4133
PMC2194786,GSE4131
PMC2194786,GSE4132
PMC2424064,GSE8617
PMC2676304,GSE13744
PMC2676301,GSE14103
PMC2703655,GSM402884
PMC2703655,GSM402883
PMC2703655,GSM402882
PMC2703655,GSM402881
PMC2703655,GSM402880
PMC2703655,GSM402879
PMC2703655,GSM402874
PMC2703655,GSM402873
PMC2703655,GSM402872
PMC2703655,GSM402871
PMC2703655,GSM402870
PMC2703655,GSM402869
PMC2703655,GSM402868
PMC2703655,GSM402867
PMC2703655,GSM402830
PMC2741491,GSE14568
PMC2741493,GDS1883
PMC2686739,GSE9376
PMC2637897,GSE3526
PMC2637897,GSE6764
PMC2637897,GSE3678
PMC2637897,GSE4107
PMC2637897,GSE7670
PMC2585104,GSE13072
PMC2858751,GSE9954
PMC2858751,GSE7307
PMC2842250,GSE18320
PMC2820458,GSE6640
PMC2820458,GSE442
PMC2820458,GSE442
PMC2820458,GSE15593
PMC2901317,GSM157808
PMC2901317,GSM157808
PMC2901317,GSE17725
PMC2901317,GSE17725
PMC2833160,GSE1730
PMC2833160,GSE1735
PMC2837035,SRA009755
PMC2837036,GSE7234
PMC2837036,GSE7896
PMC2837036,GSE9440
PMC2837036,GSE9832
PMC2837036,GSE13828
PMC2837036,GDS1
PMC2837036,GSE9440
PMC2837036,GSE7234
PMC2837036,GSE7896
PMC2837036,GSE9440
PMC2837036,GSE9832
PMC2837036,GSE13828
PMC2837036,GSE19350
PMC2846913,GSE15025
PMC2848245,GSE11619
PMC2847973,GSE15469
PMC2858150,GSE18444
PMC2858150,GSE18445
PMC2858150,GSE18447
PMC2858150,GSE18448
PMC2861062,GSE4654
PMC2861062,GSE5218
PMC2861062,GSE16514
PMC2861062,GSE5218
PMC2850359,GSE16422
PMC2850359,GSE16422
PMC2850359,GSE16422
PMC2853524,GSE18489
PMC2823688,GSE15196
PMC2864246,SRP001802
PMC2864246,SRP001802
PMC2864246,GPL84
PMC2867831,GSE21159
PMC2886062,SRX011915
PMC2875238,GSE17912
PMC2864249,GSE18207
PMC2864249,GSE18207
PMC2864249,GSE18207
PMC2864249,GSE18207
PMC2885366,SRX016333
PMC2885366,SRX016334
PMC2885369,GSE16341
PMC2885369,GSE16265
PMC2891614,GSE2642
PMC2890562,GSE19669
PMC2890563,GSE20363
PMC2890563,GSE20363
