journal,pmc_ID,accession,converted_accession
BMC_Nephrol,PMC4016589,GSM359401,GSE14373
BMC_Nephrol,PMC4016589,GSM359403,GSE14373
BMC_Nephrol,PMC4016589,GSM359405,GSE14373
BMC_Nephrol,PMC4016589,GSM359407,GSE14373
BMC_Nephrol,PMC4016589,GSM674258,GSE27274
BMC_Nephrol,PMC4016589,GSM251560,GSE9943
BMC_Nephrol,PMC4016589,GSM251586,GSE9943
BMC_Nephrol,PMC4016589,GSM251588,GSE9943
BMC_Nephrol,PMC4016589,GSM251591,GSE9943
BMC_Nephrol,PMC4016589,GSM251593,GSE9943
BMC_Nephrol,PMC4016589,GSM280410,GSE9943
BMC_Nephrol,PMC4016589,GSM280416,GSE9943
BMC_Nephrol,PMC4016589,GSM281084,GSE11166
BMC_Nephrol,PMC4016589,GSM281259,GSE11166
BMC_Nephrol,PMC4016589,GSM281276,GSE11166
BMC_Nephrol,PMC4016589,GSM281346,GSE11166
BMC_Nephrol,PMC4016589,GSM281351,GSE11166
